Row,Predicted
t410,neutral
t411,neutral
t412,neutral
t413,neutral
t414,neutral
t415,neutral
t416,neutral
t417,neutral
t418,neutral
t419,neutral
t420,neutral
t421,neutral
t422,neutral
t423,neutral
t424,neutral
t425,neutral
t426,negative
t427,neutral
t428,negative
t429,neutral
t430,neutral
t431,neutral
t432,neutral
t433,neutral
t434,neutral
t435,neutral
t436,neutral
t437,neutral
t438,neutral
t439,neutral
t440,neutral
t441,neutral
t442,neutral
t443,neutral
t444,neutral
t445,neutral
t446,neutral
t447,neutral
t448,neutral
t449,neutral
t450,neutral
t451,neutral
t452,neutral
t453,neutral
t454,neutral
t455,neutral
t456,neutral
t457,neutral
t458,neutral
t459,neutral
t460,neutral
t461,neutral
t462,neutral
t463,neutral
t464,neutral
t465,neutral
t466,neutral
t467,neutral
t468,neutral
t469,neutral
t470,positive
t471,neutral
t472,negative
t473,neutral
t474,neutral
t475,neutral
t476,neutral
t477,neutral
t478,neutral
t479,neutral
t480,neutral
t481,neutral
t482,neutral
t483,neutral
t484,neutral
t485,neutral
t486,neutral
t487,neutral
t488,neutral
t489,neutral
t490,neutral
t491,neutral
t492,neutral
t493,positive
t494,neutral
t495,neutral
t496,neutral
t497,neutral
t498,neutral
t499,neutral
t500,neutral
t501,neutral
t502,neutral
t503,neutral
t504,neutral
t505,neutral
t506,negative
t507,neutral
t508,negative
t509,neutral
t510,neutral
t511,neutral
t512,neutral
t513,neutral
t514,negative
t515,neutral
t516,neutral
t517,neutral
t518,neutral
t519,neutral
t520,neutral
t521,neutral
t522,neutral
t523,negative
t524,neutral
t525,positive
t526,neutral
t527,neutral
t528,neutral
t529,neutral
t530,neutral
t531,neutral
t532,positive
t533,neutral
t534,neutral
t535,neutral
t536,neutral
t537,neutral
t538,neutral
t539,neutral
t540,neutral
t541,neutral
t542,neutral
t543,neutral
t544,neutral
t545,negative
t546,neutral
t547,neutral
t548,neutral
t549,neutral
t550,neutral
t551,negative
t552,neutral
t553,neutral
t554,neutral
t555,neutral
t556,neutral
t557,neutral
t558,neutral
t559,neutral
t560,neutral
t561,negative
t562,neutral
t563,neutral
t564,neutral
t565,neutral
t566,neutral
t567,positive
t568,neutral
t569,neutral
t570,positive
t571,negative
t572,neutral
t573,positive
t574,neutral
t575,neutral
t576,neutral
t577,neutral
t578,neutral
t579,neutral
t580,neutral
t581,neutral
t582,neutral
t583,neutral
t584,neutral
t585,neutral
t586,neutral
t587,neutral
t588,neutral
t589,neutral
t590,neutral
t591,neutral
t592,neutral
t593,neutral
t594,neutral
t595,neutral
t596,neutral
t597,neutral
t598,neutral
t599,negative
t600,neutral
t601,neutral
t602,neutral
t603,neutral
t604,neutral
t605,neutral
t606,neutral
t607,neutral
t608,neutral
t609,neutral
t610,neutral
t611,neutral
t612,neutral
t613,neutral
t614,neutral
t615,neutral
t616,neutral
t617,neutral
t618,neutral
t619,neutral
t620,neutral
t621,neutral
t622,neutral
t623,positive
t624,neutral
t625,neutral
t626,neutral
t627,neutral
t628,neutral
t629,negative
t630,neutral
t631,neutral
t632,neutral
t633,neutral
t634,neutral
t635,neutral
t636,neutral
t637,neutral
t638,neutral
t639,neutral
t640,neutral
t641,positive
t642,neutral
t643,neutral
t644,neutral
t645,neutral
t646,neutral
t647,neutral
t648,neutral
t649,neutral
t650,positive
t651,positive
t652,neutral
t653,neutral
t654,neutral
t655,neutral
t656,neutral
t657,neutral
t658,neutral
t659,positive
t660,neutral
t661,negative
t662,neutral
t663,neutral
t664,negative
t665,neutral
t666,neutral
t667,neutral
t668,neutral
t669,neutral
t670,neutral
t671,neutral
t672,neutral
t673,neutral
t674,neutral
t675,neutral
t676,neutral
t677,neutral
t678,negative
t679,neutral
t680,neutral
t681,neutral
t682,neutral
t683,neutral
t684,negative
t685,neutral
t686,neutral
t687,neutral
t688,neutral
t689,positive
t690,neutral
t691,neutral
t692,neutral
t693,neutral
t694,neutral
t695,neutral
t696,neutral
t697,negative
t698,neutral
t699,neutral
t700,neutral
t701,neutral
t702,neutral
t703,neutral
t704,neutral
t705,neutral
t706,neutral
t707,neutral
t708,neutral
t709,neutral
t710,neutral
t711,neutral
t712,neutral
t713,neutral
t714,negative
t715,neutral
t716,neutral
t717,neutral
t718,neutral
t719,neutral
t720,negative
t721,negative
t722,neutral
t723,neutral
t724,positive
t725,neutral
t726,neutral
t727,positive
t728,positive
t729,neutral
t730,neutral
t731,negative
t732,neutral
t733,positive
t734,neutral
t735,neutral
t736,neutral
t737,positive
t738,neutral
t739,neutral
t740,positive
t741,neutral
t742,neutral
t743,neutral
t744,neutral
t745,neutral
t746,neutral
t747,neutral
t748,neutral
t749,neutral
t750,neutral
t751,neutral
t752,neutral
t753,neutral
t754,neutral
t755,neutral
t756,neutral
t757,neutral
t758,neutral
t759,neutral
t760,neutral
t761,neutral
t762,neutral
t763,neutral
t764,neutral
t765,neutral
t766,neutral
t767,neutral
t768,neutral
t769,neutral
t770,neutral
t771,neutral
t772,neutral
t773,neutral
t774,neutral
t775,neutral
t776,negative
t777,neutral
t778,neutral
t779,neutral
t780,positive
t781,positive
t782,neutral
t783,neutral
t784,neutral
t785,neutral
t786,neutral
t787,neutral
t788,neutral
t789,neutral
t790,neutral
t791,neutral
t792,negative
t793,negative
t794,neutral
t795,positive
t796,negative
t797,neutral
t798,neutral
t799,neutral
t800,positive
t801,neutral
t802,neutral
t803,neutral
t804,neutral
t805,neutral
t806,positive
t807,neutral
t808,neutral
t809,neutral
t810,neutral
t811,positive
t812,neutral
t813,neutral
t814,neutral
t815,neutral
t816,neutral
t817,neutral
t818,neutral
t819,neutral
t820,negative
t821,neutral
t822,neutral
t823,neutral
t824,neutral
t825,neutral
t826,neutral
t827,neutral
t828,negative
t829,neutral
t830,neutral
t831,neutral
t832,negative
t833,negative
t834,neutral
t835,neutral
t836,neutral
t837,neutral
t838,neutral
t839,neutral
t840,neutral
t841,neutral
t842,positive
t843,neutral
t844,neutral
t845,neutral
t846,neutral
t847,neutral
t848,neutral
t849,neutral
t850,neutral
t851,neutral
t852,neutral
t853,negative
t854,negative
t855,neutral
t856,neutral
t857,neutral
t858,neutral
t859,neutral
t860,neutral
t861,neutral
t862,neutral
t863,neutral
t864,neutral
t865,neutral
t866,negative
t867,positive
t868,neutral
t869,neutral
t870,neutral
t871,neutral
t872,neutral
t873,neutral
t874,neutral
t875,neutral
t876,neutral
t877,neutral
t878,neutral
t879,neutral
t880,negative
t881,neutral
t882,neutral
t883,neutral
t884,neutral
t885,neutral
t886,neutral
t887,neutral
t888,negative
t889,neutral
t890,neutral
t891,neutral
t892,neutral
t893,neutral
t894,positive
t895,neutral
t896,neutral
t897,neutral
t898,neutral
t899,neutral
t900,neutral
t901,neutral
t902,neutral
t903,negative
t904,neutral
t905,neutral
t906,neutral
t907,neutral
t908,neutral
t909,neutral
t910,neutral
t911,neutral
t912,neutral
t913,neutral
t914,neutral
t915,neutral
t916,neutral
t917,neutral
t918,neutral
t919,neutral
t920,neutral
t921,neutral
t922,neutral
t923,neutral
t924,neutral
t925,negative
t926,neutral
t927,neutral
t928,neutral
t929,neutral
t930,negative
t931,neutral
t932,neutral
t933,neutral
t934,neutral
t935,neutral
t936,neutral
t937,neutral
t938,neutral
t939,neutral
t940,neutral
t941,neutral
t942,neutral
t943,neutral
t944,neutral
t945,neutral
t946,neutral
t947,neutral
t948,neutral
t949,neutral
t950,neutral
t951,neutral
t952,neutral
t953,neutral
t954,neutral
t955,neutral
t956,neutral
t957,neutral
t958,neutral
t959,neutral
t960,neutral
t961,neutral
t962,neutral
t963,neutral
t964,neutral
t965,neutral
t966,neutral
t967,neutral
t968,neutral
t969,neutral
t970,neutral
t971,neutral
t972,neutral
t973,negative
t974,neutral
t975,neutral
t976,neutral
t977,neutral
t978,neutral
t979,positive
t980,neutral
t981,neutral
t982,neutral
t983,neutral
t984,negative
t985,neutral
t986,positive
t987,neutral
t988,neutral
t989,neutral
t990,neutral
t991,neutral
t992,neutral
t993,neutral
t994,neutral
t995,positive
t996,neutral
t997,neutral
t998,neutral
t999,neutral
t1000,neutral
t1001,neutral
t1002,neutral
t1003,neutral
t1004,neutral
t1005,neutral
t1006,neutral
t1007,neutral
t1008,neutral
t1009,positive
t1010,neutral
t1011,neutral
t1012,neutral
t1013,neutral
t1014,neutral
t1015,neutral
t1016,neutral
t1017,neutral
t1018,neutral
t1019,negative
t1020,neutral
t1021,neutral
t1022,neutral
t1023,neutral
t1024,neutral
t1025,neutral
t1026,neutral
t1027,neutral
t1028,neutral
t1029,neutral
t1030,neutral
t1031,neutral
t1032,neutral
t1033,neutral
t1034,neutral
t1035,neutral
t1036,neutral
t1037,neutral
t1038,neutral
t1039,neutral
t1040,positive
t1041,negative
t1042,neutral
t1043,neutral
t1044,neutral
t1045,neutral
t1046,neutral
t1047,neutral
t1048,neutral
t1049,neutral
t1050,neutral
t1051,neutral
t1052,neutral
t1053,positive
t1054,neutral
t1055,neutral
t1056,neutral
t1057,neutral
t1058,neutral
t1059,neutral
t1060,neutral
t1061,neutral
t1062,neutral
t1063,neutral
t1064,neutral
t1065,neutral
t1066,neutral
t1067,neutral
t1068,neutral
t1069,negative
t1070,neutral
t1071,neutral
t1072,neutral
t1073,negative
t1074,neutral
t1075,neutral
t1076,neutral
t1077,neutral
t1078,neutral
t1079,negative
t1080,neutral
t1081,neutral
t1082,neutral
t1083,neutral
t1084,neutral
t1085,neutral
t1086,positive
t1087,neutral
t1088,neutral
t1089,neutral
t1090,neutral
t1091,neutral
t1092,neutral
t1093,negative
t1094,neutral
t1095,neutral
t1096,neutral
t1097,neutral
t1098,neutral
t1099,neutral
t1100,neutral
t1101,neutral
t1102,neutral
t1103,negative
t1104,neutral
t1105,neutral
t1106,neutral
t1107,neutral
t1108,neutral
t1109,negative
t1110,neutral
t1111,neutral
t1112,neutral
t1113,neutral
t1114,neutral
t1115,neutral
t1116,neutral
t1117,neutral
t1118,neutral
t1119,neutral
t1120,neutral
t1121,neutral
t1122,neutral
t1123,neutral
t1124,neutral
t1125,neutral
t1126,neutral
t1127,neutral
t1128,neutral
t1129,neutral
t1130,neutral
t1131,neutral
t1132,neutral
t1133,neutral
t1134,neutral
t1135,neutral
t1136,neutral
t1137,neutral
t1138,neutral
t1139,neutral
t1140,neutral
t1141,neutral
t1142,neutral
t1143,neutral
t1144,neutral
t1145,neutral
t1146,neutral
t1147,negative
t1148,neutral
t1149,neutral
t1150,neutral
t1151,neutral
t1152,neutral
t1153,neutral
t1154,neutral
t1155,neutral
t1156,neutral
t1157,neutral
t1158,neutral
t1159,neutral
t1160,neutral
t1161,neutral
t1162,neutral
t1163,neutral
t1164,neutral
t1165,neutral
t1166,neutral
t1167,neutral
t1168,neutral
t1169,neutral
t1170,neutral
t1171,neutral
t1172,neutral
t1173,positive
t1174,neutral
t1175,neutral
t1176,neutral
t1177,neutral
t1178,neutral
t1179,negative
t1180,neutral
t1181,neutral
t1182,neutral
t1183,neutral
t1184,neutral
t1185,neutral
t1186,neutral
t1187,neutral
t1188,neutral
t1189,neutral
t1190,neutral
t1191,neutral
t1192,neutral
t1193,neutral
t1194,neutral
t1195,neutral
t1196,neutral
t1197,neutral
t1198,neutral
t1199,neutral
t1200,neutral
t1201,neutral
t1202,neutral
t1203,neutral
t1204,neutral
t1205,neutral
t1206,neutral
t1207,neutral
t1208,neutral
t1209,neutral
t1210,neutral
t1211,neutral
t1212,neutral
t1213,neutral
t1214,neutral
t1215,neutral
t1216,neutral
t1217,neutral
t1218,neutral
t1219,positive
t1220,neutral
t1221,neutral
t1222,positive
t1223,neutral
t1224,neutral
t1225,neutral
t1226,neutral
t1227,neutral
t1228,neutral
t1229,neutral
t1230,neutral
t1231,neutral
t1232,neutral
t1233,neutral
t1234,neutral
t1235,neutral
t1236,negative
t1237,neutral
t1238,neutral
t1239,neutral
t1240,neutral
t1241,negative
t1242,neutral
t1243,positive
t1244,neutral
t1245,neutral
t1246,neutral
t1247,neutral
t1248,neutral
t1249,neutral
t1250,neutral
t1251,neutral
t1252,neutral
t1253,neutral
t1254,neutral
t1255,neutral
t1256,negative
t1257,negative
t1258,neutral
t1259,neutral
t1260,neutral
t1261,neutral
t1262,neutral
t1263,neutral
t1264,neutral
t1265,negative
t1266,neutral
t1267,neutral
t1268,neutral
t1269,negative
t1270,neutral
t1271,neutral
t1272,neutral
t1273,neutral
t1274,neutral
t1275,neutral
t1276,neutral
t1277,neutral
t1278,neutral
t1279,neutral
t1280,neutral
t1281,neutral
t1282,neutral
t1283,neutral
t1284,neutral
t1285,neutral
t1286,neutral
t1287,neutral
t1288,neutral
t1289,neutral
t1290,neutral
t1291,neutral
t1292,neutral
t1293,neutral
t1294,neutral
t1295,neutral
t1296,neutral
t1297,neutral
t1298,neutral
t1299,neutral
t1300,neutral
t1301,neutral
t1302,neutral
t1303,neutral
t1304,neutral
t1305,neutral
t1306,neutral
t1307,neutral
t1308,neutral
t1309,neutral
t1310,neutral
t1311,positive
t1312,neutral
t1313,negative
t1314,neutral
t1315,neutral
t1316,neutral
t1317,neutral
t1318,neutral
t1319,neutral
t1320,neutral
t1321,neutral
t1322,neutral
t1323,neutral
t1324,neutral
t1325,neutral
t1326,neutral
t1327,neutral
t1328,neutral
t1329,neutral
t1330,neutral
t1331,neutral
t1332,neutral
t1333,neutral
t1334,neutral
t1335,neutral
t1336,neutral
t1337,neutral
t1338,neutral
t1339,neutral
t1340,neutral
t1341,neutral
t1342,neutral
t1343,neutral
t1344,neutral
t1345,neutral
t1346,neutral
t1347,neutral
t1348,negative
t1349,negative
t1350,neutral
t1351,neutral
t1352,neutral
t1353,neutral
t1354,neutral
t1355,neutral
t1356,neutral
t1357,neutral
t1358,neutral
t1359,neutral
t1360,neutral
t1361,positive
t1362,neutral
t1363,neutral
t1364,neutral
t1365,neutral
t1366,neutral
t1367,neutral
t1368,neutral
t1369,neutral
t1370,neutral
t1371,positive
t1372,neutral
t1373,neutral
t1374,neutral
t1375,neutral
t1376,neutral
t1377,positive
t1378,neutral
t1379,neutral
t1380,neutral
t1381,neutral
t1382,neutral
t1383,neutral
t1384,neutral
t1385,neutral
t1386,neutral
t1387,neutral
t1388,neutral
t1389,neutral
t1390,neutral
t1391,positive
t1392,neutral
t1393,neutral
t1394,neutral
t1395,neutral
t1396,negative
t1397,neutral
t1398,neutral
t1399,neutral
t1400,negative
t1401,neutral
t1402,neutral
t1403,neutral
t1404,neutral
t1405,negative
t1406,neutral
t1407,neutral
t1408,neutral
t1409,neutral
t1410,neutral
t1411,neutral
t1412,neutral
t1413,neutral
t1414,neutral
t1415,neutral
t1416,neutral
t1417,neutral
t1418,neutral
t1419,neutral
t1420,neutral
t1421,neutral
t1422,neutral
t1423,neutral
t1424,neutral
t1425,neutral
t1426,neutral
t1427,neutral
t1428,neutral
t1429,neutral
t1430,neutral
t1431,neutral
t1432,neutral
t1433,neutral
t1434,neutral
t1435,neutral
t1436,neutral
t1437,neutral
t1438,neutral
t1439,neutral
t1440,neutral
t1441,neutral
t1442,neutral
t1443,negative
t1444,neutral
t1445,neutral
t1446,neutral
t1447,neutral
t1448,neutral
t1449,neutral
t1450,negative
t1451,neutral
t1452,neutral
t1453,neutral
t1454,neutral
t1455,neutral
t1456,neutral
t1457,neutral
t1458,neutral
t1459,neutral
t1460,neutral
t1461,neutral
t1462,neutral
t1463,neutral
t1464,neutral
t1465,neutral
t1466,neutral
t1467,neutral
t1468,neutral
t1469,neutral
t1470,neutral
t1471,neutral
t1472,neutral
t1473,neutral
t1474,negative
t1475,neutral
t1476,neutral
t1477,neutral
t1478,neutral
t1479,neutral
t1480,neutral
t1481,neutral
t1482,neutral
t1483,neutral
t1484,neutral
t1485,neutral
t1486,neutral
t1487,neutral
t1488,neutral
t1489,neutral
t1490,neutral
t1491,neutral
t1492,negative
t1493,neutral
t1494,neutral
t1495,neutral
t1496,neutral
t1497,neutral
t1498,neutral
t1499,neutral
t1500,neutral
t1501,neutral
t1502,neutral
t1503,neutral
t1504,neutral
t1505,neutral
t1506,neutral
t1507,neutral
t1508,neutral
t1509,neutral
t1510,neutral
t1511,neutral
t1512,neutral
t1513,neutral
t1514,neutral
t1515,neutral
t1516,neutral
t1517,neutral
t1518,neutral
t1519,neutral
t1520,neutral
t1521,neutral
t1522,neutral
t1523,neutral
t1524,neutral
t1525,neutral
t1526,neutral
t1527,negative
t1528,neutral
t1529,neutral
t1530,neutral
t1531,neutral
t1532,neutral
t1533,neutral
t1534,neutral
t1535,neutral
t1536,neutral
t1537,neutral
t1538,neutral
t1539,neutral
t1540,negative
t1541,neutral
t1542,neutral
t1543,neutral
t1544,neutral
t1545,negative
t1546,neutral
t1547,neutral
t1548,neutral
t1549,positive
t1550,neutral
t1551,neutral
t1552,positive
t1553,neutral
t1554,neutral
t1555,neutral
t1556,neutral
t1557,neutral
t1558,neutral
t1559,neutral
t1560,neutral
t1561,neutral
t1562,neutral
t1563,neutral
t1564,neutral
t1565,neutral
t1566,neutral
t1567,neutral
t1568,neutral
t1569,neutral
t1570,neutral
t1571,neutral
t1572,neutral
t1573,neutral
t1574,negative
t1575,neutral
t1576,neutral
t1577,neutral
t1578,neutral
t1579,neutral
t1580,neutral
t1581,neutral
t1582,neutral
t1583,neutral
t1584,negative
t1585,neutral
t1586,neutral
t1587,neutral
t1588,neutral
t1589,neutral
t1590,neutral
t1591,neutral
t1592,neutral
t1593,neutral
t1594,neutral
t1595,neutral
t1596,neutral
t1597,neutral
t1598,neutral
t1599,neutral
t1600,neutral
t1601,neutral
t1602,neutral
t1603,neutral
t1604,neutral
t1605,neutral
t1606,neutral
t1607,neutral
t1608,neutral
t1609,neutral
t1610,neutral
t1611,neutral
t1612,neutral
t1613,neutral
t1614,neutral
t1615,neutral
t1616,neutral
t1617,neutral
t1618,neutral
t1619,neutral
t1620,neutral
t1621,neutral
t1622,neutral
t1623,neutral
t1624,neutral
t1625,neutral
t1626,neutral
t1627,neutral
t1628,neutral
t1629,neutral
t1630,neutral
t1631,neutral
t1632,neutral
t1633,neutral
t1634,neutral
t1635,neutral
t1636,positive
t1637,negative
t1638,neutral
t1639,neutral
t1640,neutral
t1641,neutral
t1642,neutral
t1643,neutral
t1644,neutral
t1645,neutral
t1646,negative
t1647,neutral
t1648,neutral
t1649,neutral
t1650,neutral
t1651,neutral
t1652,neutral
t1653,neutral
t1654,neutral
t1655,neutral
t1656,neutral
t1657,neutral
t1658,neutral
t1659,neutral
t1660,neutral
t1661,neutral
t1662,negative
t1663,neutral
t1664,neutral
t1665,neutral
t1666,neutral
t1667,positive
t1668,neutral
t1669,neutral
t1670,neutral
t1671,neutral
t1672,neutral
t1673,neutral
t1674,neutral
t1675,neutral
t1676,neutral
t1677,neutral
t1678,neutral
t1679,neutral
t1680,neutral
t1681,neutral
t1682,neutral
t1683,neutral
t1684,neutral
t1685,neutral
t1686,neutral
t1687,neutral
t1688,neutral
t1689,neutral
t1690,positive
t1691,neutral
t1692,neutral
t1693,neutral
t1694,neutral
t1695,neutral
t1696,neutral
t1697,neutral
t1698,neutral
t1699,neutral
t1700,neutral
t1701,neutral
t1702,neutral
t1703,neutral
t1704,neutral
t1705,neutral
t1706,negative
t1707,neutral
t1708,neutral
t1709,neutral
t1710,neutral
t1711,neutral
t1712,positive
t1713,neutral
t1714,neutral
t1715,neutral
t1716,neutral
t1717,neutral
t1718,neutral
t1719,neutral
t1720,neutral
t1721,neutral
t1722,neutral
t1723,negative
t1724,neutral
t1725,neutral
t1726,neutral
t1727,neutral
t1728,neutral
t1729,neutral
t1730,negative
t1731,neutral
t1732,neutral
t1733,neutral
t1734,neutral
t1735,positive
t1736,neutral
t1737,negative
t1738,neutral
t1739,neutral
t1740,neutral
t1741,neutral
t1742,neutral
t1743,negative
t1744,neutral
t1745,neutral
t1746,neutral
t1747,neutral
t1748,positive
t1749,positive
t1750,neutral
t1751,positive
t1752,neutral
t1753,neutral
t1754,neutral
t1755,neutral
t1756,neutral
t1757,neutral
t1758,negative
t1759,neutral
t1760,negative
t1761,neutral
t1762,neutral
t1763,neutral
t1764,neutral
t1765,neutral
t1766,neutral
t1767,neutral
t1768,neutral
t1769,neutral
t1770,neutral
t1771,neutral
t1772,neutral
t1773,neutral
t1774,neutral
t1775,neutral
t1776,neutral
t1777,neutral
t1778,neutral
t1779,neutral
t1780,neutral
t1781,positive
t1782,neutral
t1783,neutral
t1784,neutral
t1785,neutral
t1786,neutral
t1787,neutral
t1788,neutral
t1789,neutral
t1790,neutral
t1791,neutral
t1792,neutral
t1793,neutral
t1794,negative
t1795,neutral
t1796,neutral
t1797,neutral
t1798,neutral
t1799,neutral
t1800,positive
t1801,neutral
t1802,neutral
t1803,neutral
t1804,negative
t1805,negative
t1806,neutral
t1807,neutral
t1808,neutral
t1809,neutral
t1810,neutral
t1811,neutral
t1812,neutral
t1813,positive
t1814,neutral
t1815,neutral
t1816,negative
t1817,neutral
t1818,neutral
t1819,neutral
t1820,neutral
t1821,neutral
t1822,neutral
t1823,neutral
t1824,neutral
t1825,neutral
t1826,neutral
t1827,neutral
t1828,neutral
t1829,neutral
t1830,positive
t1831,neutral
t1832,neutral
t1833,neutral
t1834,negative
t1835,neutral
t1836,neutral
t1837,neutral
t1838,neutral
t1839,neutral
t1840,neutral
t1841,neutral
t1842,neutral
t1843,neutral
t1844,positive
t1845,neutral
t1846,neutral
t1847,negative
t1848,neutral
t1849,neutral
t1850,neutral
t1851,neutral
t1852,neutral
t1853,neutral
t1854,neutral
t1855,negative
t1856,neutral
t1857,neutral
t1858,neutral
t1859,neutral
t1860,neutral
t1861,neutral
t1862,neutral
t1863,neutral
t1864,negative
t1865,neutral
t1866,neutral
t1867,neutral
t1868,neutral
t1869,neutral
t1870,neutral
t1871,neutral
t1872,neutral
t1873,neutral
t1874,neutral
t1875,neutral
t1876,neutral
t1877,neutral
t1878,neutral
t1879,neutral
t1880,neutral
t1881,positive
t1882,neutral
t1883,neutral
t1884,neutral
t1885,neutral
t1886,neutral
t1887,neutral
t1888,neutral
t1889,neutral
t1890,neutral
t1891,neutral
t1892,neutral
t1893,neutral
t1894,neutral
t1895,neutral
